"NAME","Year","Total_Avg_Annual_Pay_Total","Total_Avg_Annual_Pay_Black_Business","Total_Avg_Employees_Total","Total_Avg_Employees_Black_Business","Total_Sum_of_Firms_Total","Total_Sum_of_Firms_Black_Business"
"Appleton, WI Metro Area",2018,146501.273056058,0,3514.64014466546,0,95696,0
"Appleton, WI Metro Area",2019,114196.196551724,0,2644.07931034483,1,101707,0
"Appleton, WI Metro Area",2020,158332.733552632,1025,3651.66940789474,67.5454545454545,123759,50
"Appleton, WI Metro Area",2021,160965.546952224,0,3677.30313014827,1,144401,0
"Asheville, NC Metro Area",2018,138587.855606759,0,3410.30568356375,1,213979,0
"Asheville, NC Metro Area",2019,135272.222395023,0,3699.31570762053,1,270184,0
"Asheville, NC Metro Area",2020,141244.001420455,432.695652173913,4002.76988636364,84.304347826087,295034,460
"Asheville, NC Metro Area",2021,183065.490857947,176.166666666667,4004.89451476793,6.75,347230,72
"Athens-Clarke County, GA Metro Area",2018,55886.9913644214,0,1295.12262521589,1,60420,0
"Athens-Clarke County, GA Metro Area",2019,17066.6468531469,0,432.879370629371,1,25798,0
"Athens-Clarke County, GA Metro Area",2020,27615.0704225352,137.47619047619,761.862284820031,3.33333333333333,44042,25
"Athens-Clarke County, GA Metro Area",2021,26206.3072100313,27.7142857142857,653.851097178683,1.19047619047619,36654,14
"Atlanta-Sandy Springs-Roswell, GA Metro Area",2018,2544129.04677623,208153.088235294,49211.2667509482,7514.29411764706,3195358,40472
"Atlanta-Sandy Springs-Roswell, GA Metro Area",2019,2699916.25468165,196799.285714286,50821.2434456929,7135.14285714286,3191348,41510
"Atlanta-Sandy Springs-Roswell, GA Metro Area",2020,2998197.13641756,314249.894736842,56111.2775800712,9036.5,4177738,51102
"Atlanta-Sandy Springs-Roswell, GA Metro Area",2021,3249442.8591716,405576.846153846,56678.7230769231,12106.0256410256,4426416,73526
"Atlantic City-Hammonton, NJ Metro Area",2018,54290.5017361111,0,1418.578125,1,65363,0
"Atlantic City-Hammonton, NJ Metro Area",2019,35456.7137931034,0,929.889655172414,1,27748,0
"Atlantic City-Hammonton, NJ Metro Area",2020,112114.111853088,7022,3040.69115191987,76.0555555555556,104780,200
