"NAME","Year","Total_Avg_Annual_Pay_Total","Total_Avg_Annual_Pay_Black_Business","Total_Avg_Employees_Total","Total_Avg_Employees_Black_Business","Total_Sum_of_Firms_Total","Total_Sum_of_Firms_Black_Business"
"Georgia",2019,828785.455207475,46869.9340463458,18133.5689749931,1687.26203208556,10745212,152798
"Georgia",2020,716199.333333333,63454.0363864492,15512.5249978561,2017.46925972396,15572867,220486
"Georgia",2021,786296.866094492,80333.2425328554,15477.4198816765,2647.1421744325,16610304,313462
"Hawaii",2018,125015.608338344,338.341991341991,2937.6033273201,8.22077922077922,1131118,233
"Hawaii",2019,116672.892619681,331.564220183486,2626.45428856383,7.94954128440367,1200092,207
"Hawaii",2020,85134.7006914719,2908.32911392405,2265.72176489957,134.426160337553,1606462,881
"Hawaii",2021,116884.201667027,1996.20895522388,2365.70177527603,41.5298507462687,1735863,2932
"Idaho",2018,135498.314582891,748.953488372093,4019.25132668223,24.5406976744186,1993239,650
"Idaho",2019,156615.552364865,519.652631578947,3849.07128378378,15.3684210526316,2218176,403
"Idaho",2020,130136.887919756,571.661478599222,3394.46282163105,24.1284046692607,3291754,565
"Idaho",2021,151114.954244936,1318.14776632302,3517.88214922867,30.3573883161512,3592585,1791
"Illinois",2018,1424395.18707827,29252.0105263158,28205.6756072874,844.572631578947,13327086,55848
"Illinois",2019,1363635.10350119,33883.4239350913,26961.2625191798,983.689655172414,15120391,61255
"Illinois",2020,1117779.78725618,41366.8306092125,21990.8174252276,1059.05646359584,21250476,73507
"Illinois",2021,1244658.90104342,49421.7020348837,20498.6878155503,1068.85901162791,21692763,105598
"Indiana",2018,645258.021562323,16495.7178082192,15786.1267259315,654.676712328767,5432038,18219
"Indiana",2019,581229.448186529,22703.9137529138,13912.1920146297,898.708624708625,5934286,25669
"Indiana",2020,528775.943670323,24728.6511627907,12120.7080739203,992.318425760286,8076787,25996
"Indiana",2021,558750.688488023,32797.6471571906,11724.7952671904,979.61872909699,8511860,36155
"Iowa",2018,345245.779489437,2267.09545454545,8451.57834507042,65.8454545454545,3070493,2944
"Iowa",2019,318870.609013181,815.620967741935,7502.0106875668,26.0806451612903,3379261,1245
"Iowa",2020,261414.774718537,2724.82467532468,5826.97525359492,97.3701298701299,4394523,3351
"Iowa",2021,314968.266507902,1209.03672316384,6569.46297899978,38.0734463276836,4857992,3446
"Kansas",2018,277659.083870968,4437.19741100324,6841.80161290323,154.631067961165,2735308,4414
"Kansas",2019,263332.718406819,283.38,6247.34010817899,6.73666666666667,2993586,685
"Kansas",2020,201526.450959601,1808.81524926686,4981.47895239105,34.6363636363636,3971769,914
"Kansas",2021,242357.811045325,6947.69647058824,5265.75837076358,151.694117647059,4303911,7515
"Kentucky",2018,338114.444861372,5243.71924290221,9007.77736085053,192.400630914827,3152273,4745
"Kentucky",2019,317066.115222876,714.712990936556,8257.70496215307,21.5740181268882,3392382,1271
"Kentucky",2020,273272.826324238,8904.49523809524,6848.18566078117,366.652380952381,4818032,8696
"Kentucky",2021,314864.854850399,7835.41573033708,7142.8083652552,323.739325842697,4869195,10699
"Louisiana",2018,374787.970941132,20662.376146789,9202.66629171354,885.630733944954,3661594,28743
"Louisiana",2019,416679.864856478,14902.7648351648,9492.28921644686,558.967032967033,4421470,26487
"Louisiana",2020,300998.964012028,20858.6311336717,7118.19313221457,763.379018612521,5990426,48844
"Louisiana",2021,377530.60946634,23266.8452200303,7741.85734489911,908.729893778452,6429428,58864
